2024-04-23 15:31:09 status half-installed libaom3:amd64 3.8.2-2build1
2024-04-23 15:31:09 status unpacked libaom3:amd64 3.8.2-2build1
2024-04-23 15:31:09 install libc-dev-bin:amd64 <none> 2.39-0ubuntu8
2024-04-23 15:31:09 status half-installed libc-dev-bin:amd64 2.39-0ubuntu8
2024-04-23 15:31:09 status unpacked libc-dev-bin:amd64 2.39-0ubuntu8
2024-04-23 15:31:10 install libfontconfig1:amd64 <none> 2.15.0-1.1ubuntu2
2024-04-23 15:31:10 status half-installed libfontconfig1:amd64 2.15.0-1.1ubuntu2
2024-04-23 15:31:10 status unpacked libfontconfig1:amd64 2.15.0-1.1ubuntu2
2024-04-23 15:31:10 install libsharpyuv0:amd64 <none> 1.3.2-0.4build3
2024-04-23 15:31:10 status half-installed libsharpyuv0:amd64 1.3.2-0.4build3
2024-04-23 15:31:10 status unpacked libsharpyuv0:amd64 1.3.2-0.4build3
2024-04-23 15:31:10 install libheif-plugin-aomdec:amd64 <none> 1.17.6-1ubuntu4
2024-04-23 15:31:10 status half-installed libheif-plugin-aomdec:amd64 1.17.6-1ubuntu4
2024-04-23 15:31:10 status unpacked libheif-plugin-aomdec:amd64 1.17.6-1ubuntu4
2024-04-23 15:31:10 install libde265-0:amd64 <none> 1.0.15-1build3
2024-04-23 15:31:10 status half-installed libde265-0:amd64 1.0.15-1build3
2024-04-23 15:31:10 status unpacked libde265-0:amd64 1.0.15-1build3
2024-04-23 15:31:10 install libheif-plugin-libde265:amd64 <none> 1.17.6-1ubuntu4
2024-04-23 15:31:10 status half-installed libheif-plugin-libde265:amd64 1.17.6-1ubuntu4
2024-04-23 15:31:10 status unpacked libheif-plugin-libde265:amd64 1.17.6-1ubuntu4
2024-04-23 15:31:10 install libheif1:amd64 <none> 1.17.6-1ubuntu4
2024-04-23 15:31:10 status half-installed libheif1:amd64 1.17.6-1ubuntu4
2024-04-23 15:31:10 status unpacked libheif1:amd64 1.17.6-1ubuntu4
2024-04-23 15:31:10 install libjpeg-turbo8:amd64 <none> 2.1.5-2ubuntu2
2024-04-23 15:31:10 status half-installed libjpeg-turbo8:amd64 2.1.5-2ubuntu2
2024-04-23 15:31:10 status unpacked libjpeg-turbo8:amd64 2.1.5-2ubuntu2
2024-04-23 15:31:10 install libjpeg8:amd64 <none> 8c-2ubuntu11
2024-04-23 15:31:10 status half-installed libjpeg8:amd64 8c-2ubuntu11
2024-04-23 15:31:10 status unpacked libjpeg8:amd64 8c-2ubuntu11
2024-04-23 15:31:10 install libdeflate0:amd64 <none> 1.19-1build1
2024-04-23 15:31:10 status half-installed libdeflate0:amd64 1.19-1build1
2024-04-23 15:31:10 status unpacked libdeflate0:amd64 1.19-1build1
2024-04-23 15:31:10 install libjbig0:amd64 <none> 2.1-6.1ubuntu2
2024-04-23 15:31:10 status half-installed libjbig0:amd64 2.1-6.1ubuntu2
2024-04-23 15:31:10 status unpacked libjbig0:amd64 2.1-6.1ubuntu2
2024-04-23 15:31:10 install liblerc4:amd64 <none> 4.0.0+ds-4ubuntu2
2024-04-23 15:31:10 status half-installed liblerc4:amd64 4.0.0+ds-4ubuntu2
2024-04-23 15:31:10 status unpacked liblerc4:amd64 4.0.0+ds-4ubuntu2
2024-04-23 15:31:10 install libwebp7:amd64 <none> 1.3.2-0.4build3
2024-04-23 15:31:10 status half-installed libwebp7:amd64 1.3.2-0.4build3
2024-04-23 15:31:10 status unpacked libwebp7:amd64 1.3.2-0.4build3
2024-04-23 15:31:10 install libtiff6:amd64 <none> 4.5.1+git230720-4ubuntu2
2024-04-23 15:31:10 status half-installed libtiff6:amd64 4.5.1+git230720-4ubuntu2
2024-04-23 15:31:10 status unpacked libtiff6:amd64 4.5.1+git230720-4ubuntu2
2024-04-23 15:31:10 install libxpm4:amd64 <none> 1:3.5.17-1build2
2024-04-23 15:31:10 status half-installed libxpm4:amd64 1:3.5.17-1build2
2024-04-23 15:31:10 status unpacked libxpm4:amd64 1:3.5.17-1build2
2024-04-23 15:31:10 install libgd3:amd64 <none> 2.3.3-9ubuntu5
2024-04-23 15:31:10 status half-installed libgd3:amd64 2.3.3-9ubuntu5
